LeftPupilPoints,RightPupilPoints,LeftPupilPoints-X,LeftPupilPoints-Y,RightPupilPoints-X,RightPupilPoints-Y
"27.39,9.23","31.14,-6.71",27.39,9.23,31.14,-6.71
"27.09,9.36","30.91,-6.69",27.09,9.36,30.91,-6.69
"27.14,9.33","30.97,-6.94",27.14,9.33,30.97,-6.94
"27.24,9.19","31.08,-7.17",27.24,9.19,31.08,-7.17
"27.01,8.66","31.45,-7.20",27.01,8.66,31.45,-7.2
"26.73,9.77","31.62,-7.16",26.73,9.77,31.62,-7.16
"27.72,8.86","31.77,-7.54",27.72,8.86,31.77,-7.54
"27.86,7.79","31.92,-7.70",27.86,7.79,31.92,-7.7
"27.92,8.55","32.06,-7.70",27.92,8.55,32.06,-7.7
"28.20,8.05","32.12,-7.93",28.2,8.05,32.12,-7.93
"28.22,8.28","32.31,-8.18",28.22,8.28,32.31,-8.18
"28.29,7.98","32.14,-8.39",28.29,7.98,32.14,-8.39
"28.41,7.41","32.35,-8.49",28.41,7.41,32.35,-8.49
"28.74,7.25","32.20,-8.22",28.74,7.25,32.2,-8.22
"28.83,8.07","32.01,-8.02",28.83,8.07,32.01,-8.02
"28.29,7.77","31.88,-8.43",28.29,7.77,31.88,-8.43
"28.66,7.43","31.87,-8.50",28.66,7.43,31.87,-8.5
"28.58,7.87","26.60,-6.77",28.58,7.87,26.6,-6.77
"18.51,7.36","-7.16,-0.62",18.51,7.36,-7.16,-0.62
"-21.12,-10.05","-29.03,-15.45",-21.12,-10.05,-29.03,-15.45
"-22.69,-12.59","-28.46,-15.27",-22.69,-12.59,-28.46,-15.27
"-23.18,-12.74","-28.35,-14.79",-23.18,-12.74,-28.35,-14.79
"-23.71,-12.61","-28.17,-14.61",-23.71,-12.61,-28.17,-14.61
"-24.17,-13.14","-28.08,-14.56",-24.17,-13.14,-28.08,-14.56
"-24.53,-13.12","-27.79,-14.32",-24.53,-13.12,-27.79,-14.32
"-24.44,-12.06","-27.56,-13.78",-24.44,-12.06,-27.56,-13.78
"-24.41,-11.99","-27.46,-13.56",-24.41,-11.99,-27.46,-13.56
"-24.53,-11.93","-27.41,-13.29",-24.53,-11.93,-27.41,-13.29
"-24.75,-11.56","-27.57,-13.02",-24.75,-11.56,-27.57,-13.02
"-24.88,-11.42","-27.53,-12.95",-24.88,-11.42,-27.53,-12.95
"-24.94,-11.60","-27.55,-12.97",-24.94,-11.6,-27.55,-12.97
"-25.05,-11.45","-27.51,-12.75",-25.05,-11.45,-27.51,-12.75
"-24.95,-11.15","-28.53,-13.48",-24.95,-11.15,-28.53,-13.48
"-25.95,-11.81","-28.54,-13.41",-25.95,-11.81,-28.54,-13.41
"-25.33,-12.26","-28.26,-13.54",-25.33,-12.26,-28.26,-13.54
"-25.46,-12.47","-28.45,-13.25",-25.46,-12.47,-28.45,-13.25
"-25.66,-12.24","-28.57,-13.12",-25.66,-12.24,-28.57,-13.12
"-25.74,-12.11","-28.53,-13.03",-25.74,-12.11,-28.53,-13.03
"-25.82,-11.72","-28.55,-12.97",-25.82,-11.72,-28.55,-12.97
"-25.78,-11.60","-28.24,-12.94",-25.78,-11.6,-28.24,-12.94
"-25.70,-11.51","-28.24,-12.96",-25.7,-11.51,-28.24,-12.96
"-25.43,-11.20","-28.15,-12.45",-25.43,-11.2,-28.15,-12.45
"-25.20,-9.55","-28.32,-12.39",-25.2,-9.55,-28.32,-12.39
"-25.24,-9.75","-28.39,-12.24",-25.24,-9.75,-28.39,-12.24
"-25.24,-9.86","-28.45,-12.24",-25.24,-9.86,-28.45,-12.24
"-25.31,-9.71","-28.27,-12.24",-25.31,-9.71,-28.27,-12.24
"-25.33,-10.47","-28.30,-12.63",-25.33,-10.47,-28.3,-12.63
"-25.27,-10.20","-28.19,-12.98",-25.27,-10.2,-28.19,-12.98
"-25.19,-10.76","-28.16,-12.60",-25.19,-10.76,-28.16,-12.6
"-25.15,-10.52","-28.24,-12.57",-25.15,-10.52,-28.24,-12.57
"-25.22,-10.26","-28.41,-12.81",-25.22,-10.26,-28.41,-12.81
"-25.25,-10.64","-28.57,-12.96",-25.25,-10.64,-28.57,-12.96
"-25.23,-10.78","-28.61,-13.07",-25.23,-10.78,-28.61,-13.07
"-25.30,-10.93","-28.78,-13.24",-25.3,-10.93,-28.78,-13.24
"-25.30,-10.65","-28.94,-13.20",-25.3,-10.65,-28.94,-13.2
"-25.39,-11.10","-29.09,-13.05",-25.39,-11.1,-29.09,-13.05
"-25.54,-10.77","-29.18,-13.17",-25.54,-10.77,-29.18,-13.17
